res_constrained	res_constrained_updatefactor_1	res_unconstrained	res_unconstrained_abs	res_unconstrained_abs_beta_0.5	res_unconstrained_abs_beta_0.5_updatefactor_1	res_unconstrained_beta_0.5	res_unconstrained_beta_0.5_updatefactor_1	res_unconstrained_new	res_unconstrained_new_SLSQP	res_unconstrained_new_updatefactor_1	
s2v180c2500-3.cnf	1250	1250	1250	1250	1250	1250	1250	1250	99999	99999	99999	
s2v180c2000-3.cnf	1000	1000	1000	1000	1000	1000	1000	1000	99999	99999	99999	
s2v180c1300-1.cnf	650	650	650	650	650	650	650	650	99999	99999	99999	
s2v180c1800-3.cnf	900	900	900	900	900	900	900	900	99999	99999	99999	
s2v180c1900-2.cnf	950	950	950	950	950	950	950	950	99999	99999	99999	
s2v180c2600-1.cnf	1300	1300	1300	1300	1300	1300	1300	1300	99999	99999	99999	
s2v180c1500-1.cnf	750	750	750	750	750	750	750	750	99999	99999	99999	
s2v180c1700-1.cnf	850	850	850	850	850	850	850	850	99999	99999	99999	
s2v180c2200-3.cnf	1100	1100	1100	1100	1100	1100	1100	1100	99999	99999	99999	
s2v180c1500-3.cnf	750	750	750	750	750	750	750	750	99999	99999	99999	
s2v180c2100-2.cnf	1050	1050	1050	1050	1050	1050	1050	1050	99999	99999	99999	
s2v180c1400-2.cnf	700	700	700	700	700	700	700	700	99999	99999	99999	
s2v180c1200-1.cnf	600	600	600	600	600	600	600	600	99999	99999	99999	
s2v180c1200-3.cnf	600	600	600	600	600	600	600	600	99999	99999	99999	
s2v180c2100-1.cnf	1050	1050	1050	1050	1050	1050	1050	1050	99999	99999	99999	
s2v180c2500-1.cnf	1250	1250	1250	1250	1250	1250	1250	1250	99999	99999	99999	
s2v180c2200-1.cnf	1100	1100	1100	1100	1100	1100	1100	1100	99999	99999	99999	
s2v180c2100-3.cnf	1050	1050	1050	1050	1050	1050	1050	1050	99999	99999	99999	
s2v180c2400-1.cnf	1200	1200	1200	1200	1200	1200	1200	1200	99999	99999	99999	
s2v180c1600-1.cnf	800	800	800	800	800	800	800	800	99999	99999	99999	
s2v180c2300-1.cnf	1150	1150	1150	1150	1150	1150	1150	1150	99999	99999	99999	
s2v180c1800-1.cnf	900	900	900	900	900	900	900	900	99999	99999	99999	
s2v180c1900-3.cnf	950	950	950	950	950	950	950	950	99999	99999	99999	
s2v180c2400-2.cnf	1200	1200	1200	1200	1200	1200	1200	1200	99999	99999	99999	
s2v180c2200-2.cnf	1100	1100	1100	1100	1100	1100	1100	1100	99999	99999	99999	
s2v180c1600-3.cnf	800	800	800	800	800	800	800	800	99999	99999	99999	
s2v180c2400-3.cnf	1200	1200	1200	1200	1200	1200	1200	1200	99999	99999	99999	
s2v180c1400-1.cnf	700	700	700	700	700	700	700	700	99999	99999	99999	
s2v180c1700-2.cnf	850	850	850	850	850	850	850	850	99999	99999	99999	
s2v180c1900-1.cnf	950	950	950	950	950	950	950	950	99999	99999	99999	
s2v180c1300-2.cnf	650	650	650	650	650	650	650	650	99999	99999	99999	
s2v180c1700-3.cnf	850	850	850	850	850	850	850	850	99999	99999	99999	
s2v180c1600-2.cnf	800	800	800	800	800	800	800	800	99999	99999	99999	
s2v180c1400-3.cnf	700	700	700	700	700	700	700	700	99999	99999	99999	
s2v180c2600-3.cnf	1300	1300	1300	1300	1300	1300	1300	1300	99999	99999	99999	
s2v140c1200-1.cnf	600	600	600	600	600	600	600	600	99999	99999	99999	
s2v140c2500-2.cnf	1250	1250	459	1250	1250	1250	1250	1250	99999	99999	99999	
s2v140c2600-1.cnf	1300	1300	1300	1300	1300	1300	1300	1300	99999	99999	99999	
s2v140c1300-2.cnf	650	650	650	650	650	650	650	650	99999	99999	99999	
s2v140c2600-3.cnf	1300	1300	1300	1300	1300	1300	1300	1300	99999	99999	99999	
s2v140c1500-3.cnf	750	750	750	750	750	750	750	750	99999	99999	99999	
s2v140c1200-2.cnf	600	600	600	600	600	600	600	600	99999	99999	99999	
s2v140c1200-3.cnf	600	600	600	600	600	600	164	600	99999	99999	99999	
s2v140c2500-1.cnf	1250	1250	1250	1250	1250	1250	1250	1250	99999	99999	99999	
s2v140c1700-3.cnf	850	850	850	850	850	850	850	850	99999	99999	99999	
s2v140c2400-3.cnf	1200	1200	1200	1200	1200	1200	1200	1200	99999	99999	99999	
s2v140c2300-1.cnf	1150	1150	1150	1150	1150	1150	1150	1150	99999	99999	99999	
s2v140c1900-1.cnf	950	950	950	950	950	950	950	950	99999	99999	99999	
s2v140c1800-1.cnf	900	900	900	900	900	900	900	900	99999	99999	99999	
s2v140c1300-1.cnf	650	650	650	650	650	650	650	650	99999	99999	99999	
s2v140c1300-3.cnf	650	650	183	650	650	650	650	650	99999	99999	99999	
s2v140c2300-3.cnf	1150	1150	1150	1150	1150	1150	1150	1150	99999	99999	99999	
s2v140c2200-2.cnf	1100	1100	388	1100	1100	1100	1100	1100	99999	99999	99999	
s2v140c1700-2.cnf	850	850	850	850	850	850	850	850	99999	99999	99999	
s2v140c1900-2.cnf	950	950	950	950	950	950	950	950	99999	99999	99999	
s2v140c2000-2.cnf	1000	1000	1000	1000	1000	1000	1000	1000	99999	99999	99999	
s2v140c2400-1.cnf	1200	1200	1200	1200	1200	1200	1200	1200	99999	99999	99999	
s2v140c1600-1.cnf	800	800	800	800	800	800	800	800	99999	99999	99999	
s2v140c1700-1.cnf	850	850	850	850	850	850	850	850	99999	99999	99999	
s2v140c2500-3.cnf	1250	1250	1250	1250	1250	1250	1250	1250	99999	99999	99999	
s2v140c2100-1.cnf	1050	1050	1050	1050	1050	1050	1050	1050	99999	99999	99999	
s2v140c2300-2.cnf	1150	1150	415	1150	1150	1150	1150	1150	99999	99999	99999	
s2v140c1900-3.cnf	950	950	950	950	950	950	950	950	99999	99999	99999	
s2v140c1500-1.cnf	750	750	750	750	750	750	750	750	99999	99999	99999	
s2v140c1500-2.cnf	750	750	750	750	750	750	750	750	99999	99999	99999	
s2v140c2200-1.cnf	1100	1100	1100	1100	1100	1100	1100	1100	99999	99999	99999	
s2v140c2000-1.cnf	1000	1000	1000	1000	1000	1000	1000	1000	99999	99999	99999	
s2v140c1600-3.cnf	800	800	800	800	800	800	800	800	99999	99999	99999	
s2v140c2100-3.cnf	1050	1050	1050	1050	1050	1050	1050	1050	99999	99999	99999	
s2v140c2400-2.cnf	1200	1200	423	1200	1200	1200	1200	1200	99999	99999	99999	
s2v140c2100-2.cnf	1050	1050	1050	1050	1050	1050	1050	1050	99999	99999	99999	
s2v140c2600-2.cnf	1300	1300	1300	1300	1300	1300	1300	1300	99999	99999	99999	
s2v140c1800-3.cnf	900	900	900	900	900	900	900	900	99999	99999	99999	
s2v140c1400-1.cnf	700	700	700	700	700	700	700	700	99999	99999	99999	
s2v140c2200-3.cnf	1100	1100	387	1100	1100	1100	1100	1100	99999	99999	99999	
s2v140c1800-2.cnf	900	900	900	900	900	900	900	900	99999	99999	99999	
s2v140c1600-2.cnf	800	800	800	800	800	800	800	800	99999	99999	99999	
s2v140c1400-3.cnf	700	700	700	700	700	700	700	700	99999	99999	99999	
s2v140c2000-3.cnf	1000	1000	1000	1000	1000	1000	1000	1000	99999	99999	99999	
s2v140c1400-2.cnf	700	700	700	700	700	700	700	700	99999	99999	99999	
t4pm3-6666.spn.cnf	96	96	42	58	66	66	46	46	99999	99999	99999	
t5pm3-7777.spn.cnf	188	188	188	188	188	188	188	188	99999	99999	99999	
t3pm3-5555.spn.cnf	41	41	17	23	27	27	17	17	99999	99999	99999	
t6pm3-8888.spn.cnf	324	324	324	324	324	324	324	324	99999	99999	99999	
t7pm3-9999.spn.cnf	515	515	515	515	515	515	515	515	99999	99999	99999	
HG-4SAT-V150-C1350-5.cnf	94	94	38	94	94	94	94	94	99999	99999	99999	
HG-4SAT-V150-C1350-10.cnf	70	70	34	70	70	70	70	70	99999	99999	99999	
HG-4SAT-V150-C1350-8.cnf	73	73	51	73	73	73	73	73	99999	99999	99999	
HG-4SAT-V100-C900-20.cnf	55	55	23	55	55	55	55	55	99999	99999	99999	
HG-4SAT-V150-C1350-6.cnf	91	91	36	91	91	91	91	91	99999	99999	99999	
HG-4SAT-V150-C1350-2.cnf	71	71	36	71	71	71	71	71	99999	99999	99999	
HG-4SAT-V150-C1350-7.cnf	67	67	34	67	67	67	67	67	99999	99999	99999	
HG-4SAT-V150-C1350-3.cnf	73	73	29	73	73	73	73	73	99999	99999	99999	
HG-4SAT-V150-C1350-1.cnf	93	93	33	93	93	93	93	93	99999	99999	99999	
HG-4SAT-V100-C900-7.cnf	43	43	22	43	43	43	43	43	99999	99999	99999	
HG-4SAT-V150-C1350-9.cnf	75	75	33	75	75	75	75	75	99999	99999	99999	
HG-4SAT-V100-C900-4.cnf	46	46	20	46	46	46	46	46	99999	99999	99999	
HG-4SAT-V100-C900-19.cnf	55	55	21	55	55	55	55	55	99999	99999	99999	
HG-4SAT-V100-C900-23.cnf	49	49	19	49	49	49	49	49	99999	99999	99999	
HG-4SAT-V100-C900-14.cnf	64	64	24	64	64	64	64	64	99999	99999	99999	
HG-4SAT-V150-C1350-4.cnf	83	83	32	83	83	83	83	83	99999	99999	99999	
HG-3SAT-V300-C1200-7.cnf	149	149	149	149	149	149	149	149	99999	99999	99999	
HG-3SAT-V300-C1200-5.cnf	139	139	139	139	139	139	139	139	99999	99999	99999	
HG-3SAT-V250-C1000-8.cnf	122	122	122	122	122	122	122	122	99999	99999	99999	
HG-3SAT-V300-C1200-6.cnf	153	153	153	153	153	153	153	153	99999	99999	99999	
HG-3SAT-V250-C1000-5.cnf	111	111	111	111	111	111	111	111	99999	99999	99999	
HG-3SAT-V250-C1000-7.cnf	118	118	118	118	118	118	118	118	99999	99999	99999	
HG-3SAT-V250-C1000-2.cnf	122	122	122	122	122	122	122	122	99999	99999	99999	
HG-3SAT-V300-C1200-10.cnf	149	149	149	149	149	149	149	149	99999	99999	99999	
HG-3SAT-V300-C1200-8.cnf	156	156	156	156	156	156	156	156	99999	99999	99999	
HG-3SAT-V300-C1200-1.cnf	150	150	150	150	150	150	150	150	99999	99999	99999	
HG-3SAT-V300-C1200-9.cnf	141	141	141	141	141	141	141	141	99999	99999	99999	
HG-3SAT-V250-C1000-3.cnf	129	129	129	129	129	129	129	129	99999	99999	99999	
HG-3SAT-V300-C1200-4.cnf	144	144	144	144	144	144	144	144	99999	99999	99999	
HG-3SAT-V250-C1000-4.cnf	112	112	112	112	112	112	112	112	99999	99999	99999	
HG-3SAT-V250-C1000-6.cnf	136	136	136	136	136	136	136	136	99999	99999	99999	
HG-3SAT-V250-C1000-10.cnf	142	142	142	142	142	142	142	142	99999	99999	99999	
HG-3SAT-V300-C1200-3.cnf	151	151	151	151	151	151	151	151	99999	99999	99999	
HG-3SAT-V300-C1200-2.cnf	155	155	155	155	155	155	155	155	99999	99999	99999	
HG-3SAT-V250-C1000-9.cnf	121	121	121	121	121	121	121	121	99999	99999	99999	
s2v200c1200-2.cnf	313	313	138	313	313	313	313	313	99999	99999	99999	
s2v200c1400-7.cnf	340	340	159	340	340	340	340	340	99999	99999	99999	
s2v200c1200-5.cnf	286	286	127	286	286	286	286	286	99999	99999	99999	
s2v200c1700-1.cnf	406	406	211	406	406	406	406	406	99999	99999	99999	
s2v200c1600-3.cnf	397	397	200	397	397	397	397	397	99999	99999	99999	
s2v200c1500-1.cnf	379	379	179	379	379	379	379	379	99999	99999	99999	
s2v200c1600-1.cnf	383	383	215	383	383	383	383	383	99999	99999	99999	
s2v200c1500-7.cnf	368	368	368	368	368	368	368	368	99999	99999	99999	
s2v200c1600-2.cnf	416	416	190	416	416	416	416	416	99999	99999	99999	
s2v200c1300-3.cnf	335	335	127	335	335	335	335	335	99999	99999	99999	
s2v200c1700-4.cnf	409	409	231	409	409	409	409	409	99999	99999	99999	
s2v200c1400-3.cnf	349	349	161	349	349	349	349	349	99999	99999	99999	
s2v200c1700-7.cnf	435	435	218	435	435	435	435	435	99999	99999	99999	
s2v200c1800-6.cnf	432	432	432	432	432	432	432	432	99999	99999	99999	
s2v200c1500-2.cnf	366	366	171	366	366	366	366	366	99999	99999	99999	
s2v200c1700-3.cnf	405	405	231	405	405	405	405	405	99999	99999	99999	
s2v200c1500-3.cnf	385	385	173	385	385	385	385	385	99999	99999	99999	
s2v200c1700-5.cnf	396	396	228	396	396	396	396	396	99999	99999	99999	
s2v200c1300-7.cnf	296	296	133	296	296	296	296	296	99999	99999	99999	
s2v200c1700-2.cnf	414	414	219	414	414	414	414	414	99999	99999	99999	
s2v200c1400-1.cnf	354	354	169	354	354	354	354	354	99999	99999	99999	
s2v200c1200-6.cnf	291	291	139	291	291	291	291	291	99999	99999	99999	
s2v200c1500-6.cnf	394	394	196	394	394	394	394	394	99999	99999	99999	
s2v200c1500-4.cnf	392	392	194	392	392	392	392	392	99999	99999	99999	
s2v200c1300-4.cnf	344	344	147	344	344	344	154	344	99999	99999	99999	
s2v200c1200-7.cnf	308	308	121	308	308	308	308	308	99999	99999	99999	
s2v200c1200-4.cnf	310	310	120	310	310	310	310	310	99999	99999	99999	
s2v200c1700-6.cnf	468	468	231	468	468	468	468	468	99999	99999	99999	
s2v200c1300-6.cnf	310	310	145	310	310	310	310	310	99999	99999	99999	
s2v200c1800-1.cnf	442	442	219	442	442	442	442	442	99999	99999	99999	
s2v200c1800-5.cnf	440	440	246	440	440	440	440	440	99999	99999	99999	
s2v200c1800-4.cnf	431	431	237	431	431	431	431	431	99999	99999	99999	
s2v200c1800-7.cnf	431	431	253	431	431	431	431	431	99999	99999	99999	
s2v200c1600-4.cnf	402	402	402	402	402	402	402	402	99999	99999	99999	
s2v200c1800-2.cnf	437	437	238	437	437	437	437	437	99999	99999	99999	
s2v200c1800-3.cnf	448	448	247	448	448	448	448	448	99999	99999	99999	
s2v200c1400-5.cnf	373	373	169	373	373	373	373	373	99999	99999	99999	
s2v200c1400-4.cnf	371	371	177	371	371	371	371	371	99999	99999	99999	
s2v200c1300-2.cnf	314	314	157	314	314	314	314	314	99999	99999	99999	
s2v200c1400-2.cnf	347	347	156	347	347	347	347	347	99999	99999	99999	
s2v200c1500-5.cnf	358	358	195	358	358	358	358	358	99999	99999	99999	
s2v200c1600-7.cnf	407	407	216	407	407	407	407	407	99999	99999	99999	
s2v200c1200-3.cnf	307	307	131	307	307	307	307	307	99999	99999	99999	
s2v200c1600-6.cnf	418	418	196	418	418	418	418	418	99999	99999	99999	
s2v200c1600-5.cnf	404	404	207	404	404	404	404	404	99999	99999	99999	
s2v200c1400-6.cnf	381	381	149	381	381	381	381	381	99999	99999	99999	
s2v200c1300-1.cnf	320	320	157	320	320	320	151	320	99999	99999	99999	
s2v200c1300-5.cnf	317	317	156	317	317	317	317	317	99999	99999	99999	
s2v160c1900-3.cnf	461	461	284	461	461	461	461	461	99999	99999	99999	
s2v160c1400-2.cnf	343	343	184	343	343	343	343	343	99999	99999	99999	
s2v160c2000-3.cnf	514	514	302	514	514	514	514	514	99999	99999	99999	
s2v160c2600-1.cnf	604	604	604	604	604	604	604	604	99999	99999	99999	
s2v160c2100-3.cnf	528	528	327	528	528	528	528	528	99999	99999	99999	
s2v160c1400-1.cnf	335	335	335	335	335	335	335	335	99999	99999	99999	
s2v160c1700-2.cnf	467	467	251	467	467	467	467	467	99999	99999	99999	
s2v160c1600-3.cnf	397	397	229	397	397	397	397	397	99999	99999	99999	
s2v160c1800-3.cnf	446	446	277	446	446	446	446	446	99999	99999	99999	
s2v160c2400-3.cnf	578	578	406	578	578	578	578	578	99999	99999	99999	
s2v160c2500-1.cnf	593	593	412	593	593	593	593	593	99999	99999	99999	
s2v160c1800-2.cnf	477	477	279	477	477	477	477	477	99999	99999	99999	
s2v160c2300-3.cnf	590	590	590	590	590	590	590	590	99999	99999	99999	
s2v160c1300-1.cnf	316	316	187	316	316	316	316	316	99999	99999	99999	
s2v160c1600-2.cnf	422	422	238	422	422	422	422	422	99999	99999	99999	
s2v160c1300-3.cnf	339	339	177	339	339	339	339	339	99999	99999	99999	
s2v160c2200-3.cnf	558	558	350	558	558	558	558	558	99999	99999	99999	
s2v160c2100-1.cnf	513	513	317	513	513	513	513	513	99999	99999	99999	
s2v160c1500-3.cnf	384	384	197	384	384	384	384	384	99999	99999	99999	
s2v160c1500-2.cnf	367	367	220	367	367	367	367	367	99999	99999	99999	
s2v160c1500-1.cnf	377	377	194	377	377	377	377	377	99999	99999	99999	
s2v160c1900-1.cnf	482	482	279	482	482	482	482	482	99999	99999	99999	
s2v160c2300-1.cnf	563	563	373	563	563	563	563	563	99999	99999	99999	
s2v160c2400-1.cnf	611	611	611	611	611	611	611	611	99999	99999	99999	
s2v160c1200-3.cnf	325	325	156	325	325	325	325	325	99999	99999	99999	
s2v160c2200-1.cnf	551	551	331	551	551	551	551	551	99999	99999	99999	
s2v160c2200-2.cnf	554	554	354	554	554	554	554	554	99999	99999	99999	
s2v160c1200-2.cnf	310	310	139	310	310	310	310	310	99999	99999	99999	
s2v160c2500-3.cnf	602	602	602	602	602	602	602	602	99999	99999	99999	
s2v160c1700-1.cnf	411	411	247	411	411	411	411	411	99999	99999	99999	
s2v160c1600-1.cnf	398	398	250	398	398	398	398	398	99999	99999	99999	
s2v160c2400-2.cnf	603	603	397	603	603	603	603	603	99999	99999	99999	
s2v160c1900-2.cnf	466	466	277	466	466	466	466	466	99999	99999	99999	
s2v160c2600-3.cnf	623	623	444	623	623	623	623	623	99999	99999	99999	
s2v160c2100-2.cnf	516	516	516	516	516	516	516	516	99999	99999	99999	
s2v160c2000-1.cnf	514	514	316	514	514	514	514	514	99999	99999	99999	
s2v160c2600-2.cnf	618	618	421	618	618	618	618	618	99999	99999	99999	
s2v160c1300-2.cnf	310	310	145	310	310	310	310	310	99999	99999	99999	
s2v160c2000-2.cnf	483	483	283	483	483	483	483	483	99999	99999	99999	
s2v160c1700-3.cnf	429	429	274	429	429	429	429	429	99999	99999	99999	
s2v160c1400-3.cnf	338	338	180	338	338	338	338	338	99999	99999	99999	
s2v160c1800-1.cnf	468	468	288	468	468	468	468	468	99999	99999	99999	
s2v160c2300-2.cnf	560	560	381	560	560	560	560	560	99999	99999	99999	
s2v160c2500-2.cnf	653	653	413	653	653	653	653	653	99999	99999	99999	
s2v120c1800-3.cnf	452	452	300	452	452	452	452	452	99999	99999	99999	
s2v120c2100-2.cnf	521	521	380	521	521	521	521	521	99999	99999	99999	
s2v120c1500-1.cnf	396	396	219	396	396	396	396	396	99999	99999	99999	
s2v120c1400-1.cnf	361	361	212	361	361	361	206	361	99999	99999	99999	
s2v120c2400-1.cnf	565	565	410	565	565	565	408	565	99999	99999	99999	
s2v120c1600-1.cnf	422	422	247	422	422	422	422	422	99999	99999	99999	
s2v120c2100-3.cnf	550	550	357	550	550	550	340	550	99999	99999	99999	
s2v120c1900-2.cnf	504	504	319	504	504	504	308	504	99999	99999	99999	
s2v120c1700-1.cnf	440	440	282	440	440	440	440	440	99999	99999	99999	
s2v120c1700-3.cnf	449	449	252	449	449	449	449	449	99999	99999	99999	
s2v120c2200-2.cnf	538	538	399	538	538	538	538	538	99999	99999	99999	
s2v120c1200-3.cnf	296	296	180	296	296	296	296	296	99999	99999	99999	
s2v120c1400-3.cnf	354	354	203	354	354	354	354	354	99999	99999	99999	
s2v120c2300-3.cnf	541	541	375	541	541	541	373	373	99999	99999	99999	
s2v120c1600-3.cnf	391	391	248	391	391	391	238	391	99999	99999	99999	
s2v120c2200-1.cnf	512	512	392	512	512	512	512	512	99999	99999	99999	
s2v120c2500-1.cnf	598	598	448	598	598	598	598	598	99999	99999	99999	
s2v120c1700-2.cnf	416	416	268	416	416	416	416	416	99999	99999	99999	
s2v120c2200-3.cnf	539	539	391	539	539	539	539	539	99999	99999	99999	
s2v120c1300-3.cnf	333	333	185	333	333	333	333	333	99999	99999	99999	
s2v120c2300-1.cnf	584	584	410	584	584	584	584	584	99999	99999	99999	
s2v120c2600-3.cnf	658	658	477	658	658	658	454	658	99999	99999	99999	
s2v120c2600-1.cnf	640	640	466	640	640	640	451	640	99999	99999	99999	
s2v120c2000-3.cnf	508	508	508	508	508	508	508	508	99999	99999	99999	
s2v120c2100-1.cnf	487	487	352	487	487	487	340	487	99999	99999	99999	
s2v120c2500-3.cnf	617	617	462	617	617	617	441	617	99999	99999	99999	
s2v120c2400-3.cnf	627	627	409	627	627	627	393	393	99999	99999	99999	
s2v120c2400-2.cnf	604	604	604	604	604	604	417	604	99999	99999	99999	
s2v120c1200-2.cnf	322	322	171	322	322	322	322	322	99999	99999	99999	
s2v120c1500-2.cnf	406	406	229	406	406	406	406	406	99999	99999	99999	
s2v120c2000-2.cnf	503	503	350	503	503	503	503	503	99999	99999	99999	
s2v120c1800-2.cnf	492	492	285	492	492	492	492	492	99999	99999	99999	
s2v120c1500-3.cnf	376	376	222	376	376	376	376	376	99999	99999	99999	
s2v120c1900-1.cnf	477	477	322	477	477	477	477	477	99999	99999	99999	
s2v120c2600-2.cnf	658	658	498	658	658	658	492	492	99999	99999	99999	
s2v120c1300-2.cnf	357	357	183	357	357	357	357	357	99999	99999	99999	
s2v120c1600-2.cnf	423	423	261	423	423	423	423	423	99999	99999	99999	
s2v120c2500-2.cnf	636	636	489	636	636	636	452	636	99999	99999	99999	
s2v120c1900-3.cnf	465	465	318	465	465	465	465	465	99999	99999	99999	
s2v120c2000-1.cnf	448	448	326	448	448	448	448	448	99999	99999	99999	
s2v120c2300-2.cnf	553	553	553	553	553	553	396	396	99999	99999	99999	
s2v120c1300-1.cnf	339	339	194	339	339	339	184	339	99999	99999	99999	
s2v120c1800-1.cnf	414	414	313	414	414	414	414	414	99999	99999	99999	
s2v120c1400-2.cnf	380	380	202	380	380	380	380	380	99999	99999	99999	
