res_constrained	res_constrained_updatefactor_1	res_unconstrained	res_unconstrained_abs	res_unconstrained_abs_beta_0.5	res_unconstrained_abs_beta_0.5_updatefactor_1	res_unconstrained_beta_0.5	res_unconstrained_beta_0.5_updatefactor_1	res_unconstrained_new	res_unconstrained_new_SLSQP	res_unconstrained_new_updatefactor_1	
s3v90c700-7.cnf	85	85	18	85	85	85	27	27	99999	99999	99999	
s3v90c1300-3.cnf	166	166	78	166	166	166	166	166	99999	99999	99999	
s3v90c1200-7.cnf	120	120	74	120	120	120	120	120	99999	99999	99999	
s3v90c900-4.cnf	110	110	33	110	110	110	110	110	99999	99999	99999	
s3v90c1100-5.cnf	132	132	49	132	132	132	132	132	99999	99999	99999	
s3v90c800-6.cnf	104	104	104	104	104	104	104	104	99999	99999	99999	
s3v90c1000-7.cnf	113	113	54	113	113	113	113	113	99999	99999	99999	
s3v90c1200-2.cnf	148	148	77	148	148	148	148	148	99999	99999	99999	
s3v90c1000-2.cnf	111	111	58	111	111	111	111	111	59	99999	99999	
s3v90c700-5.cnf	78	78	78	78	78	78	31	78	99999	99999	99999	
s3v90c1100-7.cnf	147	147	67	147	147	147	147	147	99999	99999	99999	
s3v90c900-2.cnf	133	133	133	133	133	133	133	133	99999	99999	99999	
s3v90c1300-4.cnf	165	165	97	165	165	165	165	165	99999	99999	99999	
s3v90c1000-6.cnf	125	125	62	125	125	125	125	125	99999	99999	99999	
s3v90c700-6.cnf	78	78	22	78	78	78	78	78	99999	99999	99999	
s3v90c900-1.cnf	106	106	106	106	106	106	106	106	99999	99999	99999	
s3v90c800-3.cnf	109	109	109	109	109	109	31	109	99999	99999	99999	
s3v90c800-4.cnf	105	105	22	105	105	105	105	105	99999	99999	99999	
s3v90c700-4.cnf	92	92	92	92	92	92	28	92	99999	99999	99999	
s3v90c800-2.cnf	105	105	105	105	105	105	105	105	99999	99999	99999	
s3v90c700-2.cnf	91	91	91	91	91	91	28	91	99999	99999	99999	
s3v70c1300-5.cnf	184	184	97	184	184	184	184	184	97	99999	99999	
s3v70c1500-5.cnf	184	184	118	184	184	184	184	184	99999	99999	99999	
s3v70c1500-1.cnf	177	177	112	177	177	177	177	177	111	99999	99999	
s3v70c900-4.cnf	112	112	52	112	112	112	112	112	99999	99999	99999	
s3v70c1400-4.cnf	175	175	99	175	175	175	175	175	99	99999	99999	
s3v70c1500-4.cnf	190	190	120	190	190	190	190	190	99999	99999	99999	
s3v70c800-1.cnf	97	97	42	97	97	97	97	97	99999	99999	99999	
s3v70c900-1.cnf	108	108	46	108	108	108	108	108	99999	99999	99999	
s3v70c1200-2.cnf	159	159	86	159	159	159	159	159	86	99999	99999	
s3v70c1400-2.cnf	158	158	106	158	158	158	158	158	106	99999	99999	
s3v70c1300-3.cnf	170	170	92	170	170	170	170	170	92	99999	99999	
s3v70c900-3.cnf	122	122	49	122	122	122	122	122	49	99999	99999	
s3v70c1500-3.cnf	172	172	116	172	172	172	172	172	116	99999	99999	
s3v70c700-1.cnf	82	82	23	82	82	82	31	82	23	99999	99999	
s3v70c800-2.cnf	101	101	46	101	101	101	101	101	46	99999	99999	
s3v70c800-4.cnf	121	121	31	121	121	121	33	33	99999	99999	99999	
s3v70c900-5.cnf	108	108	52	108	108	108	51	51	99999	99999	99999	
s3v70c1000-4.cnf	118	118	62	118	118	118	118	118	62	62	99999	
s3v70c1200-1.cnf	141	141	82	141	141	141	74	141	82	82	99999	
s3v70c1200-4.cnf	142	142	91	142	142	142	142	142	91	99999	99999	
s3v70c1000-2.cnf	127	127	51	127	127	127	127	127	51	48	99999	
s3v70c1400-1.cnf	164	164	109	164	164	164	164	164	109	99999	99999	
s3v70c700-2.cnf	85	85	21	85	85	85	32	32	21	99999	99999	
s3v70c1100-3.cnf	145	145	73	145	145	145	58	58	73	71	99999	
s3v70c1300-1.cnf	160	160	104	160	160	160	160	160	104	99999	99999	
s3v70c1200-3.cnf	157	157	89	157	157	157	157	157	89	89	99999	
s3v70c1000-3.cnf	133	133	66	133	133	133	133	133	66	58	99999	
s3v70c1000-1.cnf	120	120	66	120	120	120	55	120	66	66	99999	
s3v70c700-4.cnf	89	89	36	89	89	89	28	89	36	99999	99999	
s3v70c1400-5.cnf	199	199	105	199	199	199	199	199	105	99999	99999	
s3v70c700-5.cnf	85	85	22	85	85	85	85	85	99999	99999	99999	
s3v70c1400-3.cnf	172	172	105	172	172	172	172	172	105	99999	99999	
s3v70c1200-5.cnf	156	156	84	156	156	156	156	156	84	84	99999	
s3v70c800-3.cnf	103	103	35	103	103	103	103	103	99999	99999	99999	
s3v70c900-2.cnf	114	114	48	114	114	114	114	114	48	99999	99999	
s3v70c1000-5.cnf	127	127	59	127	127	127	127	127	59	58	99999	
s3v70c700-3.cnf	89	89	32	89	89	89	32	89	32	99999	99999	
s3v70c1100-2.cnf	143	143	71	143	143	143	58	143	71	71	99999	
s3v70c1300-4.cnf	158	158	99	158	158	158	158	158	99	99999	99999	
s3v70c1100-1.cnf	130	130	73	130	130	130	130	130	73	73	99999	
s3v70c1500-2.cnf	178	178	114	178	178	178	178	178	114	99999	99999	
s3v70c800-5.cnf	88	88	39	88	88	88	88	88	39	99999	99999	
s3v70c1100-4.cnf	129	129	70	129	129	129	129	129	70	67	99999	
s3v70c1100-5.cnf	137	137	66	137	137	137	137	137	66	66	99999	
s3v70c1300-2.cnf	152	152	107	152	152	152	152	152	104	99999	99999	
readme.txt	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	
scpcyc10_maxsat.cnf	11520	11520	11520	11520	11520	11520	11520	11520	99999	99999	99999	
scpcyc08_maxsat.cnf	1792	1792	1792	1792	1792	1792	1792	1792	99999	99999	99999	
scpcyc11_maxsat.cnf	28160	28160	28160	28160	28160	28160	28160	28160	99999	99999	99999	
scpcyc09_maxsat.cnf	4608	4608	4608	4608	4608	4608	4608	4608	99999	99999	99999	
scpcyc06_maxsat.cnf	240	240	240	80	96	96	92	89	99999	99999	99999	
scpcyc07_maxsat.cnf	672	672	672	672	672	672	672	672	99999	99999	99999	
scpclr11_maxsat.cnf	1023	1023	1023	1023	1023	1023	1023	1023	99999	99999	99999	
scpclr10_maxsat.cnf	511	511	511	511	511	511	511	511	99999	99999	99999	
scpclr12_maxsat.cnf	2047	2047	2047	2047	2047	2047	2047	2047	99999	99999	99999	
maxcut-140-630-0.7-20.cnf	630	630	630	630	630	630	630	630	99999	99999	99999	
maxcut-140-630-0.7-15.cnf	630	630	630	630	630	630	630	630	99999	99999	99999	
maxcut-140-630-0.7-18.cnf	630	630	630	630	630	630	630	630	99999	99999	99999	
maxcut-140-630-0.7-11.cnf	630	630	630	630	630	630	630	630	99999	99999	99999	
maxcut-140-630-0.7-5.cnf	630	630	630	630	630	630	630	630	99999	99999	99999	
maxcut-140-630-0.7-12.cnf	630	630	630	630	630	630	630	630	99999	99999	99999	
maxcut-140-630-0.7-21.cnf	630	630	630	630	630	630	630	630	99999	99999	99999	
maxcut-140-630-0.7-16.cnf	630	630	630	630	630	630	630	630	99999	99999	99999	
maxcut-140-630-0.7-6.cnf	630	630	630	630	630	630	630	630	99999	99999	99999	
maxcut-140-630-0.7-3.cnf	630	630	630	630	630	630	630	630	99999	99999	99999	
maxcut-140-630-0.7-14.cnf	630	630	630	630	630	630	630	630	99999	99999	99999	
maxcut-140-630-0.7-19.cnf	630	630	630	630	630	630	630	630	99999	99999	99999	
maxcut-140-630-0.7-9.cnf	630	630	630	630	630	630	630	630	99999	99999	99999	
maxcut-140-630-0.7-8.cnf	630	630	630	630	630	630	630	630	99999	99999	99999	
maxcut-140-630-0.7-4.cnf	630	630	630	630	630	630	630	630	99999	99999	99999	
maxcut-140-630-0.7-13.cnf	630	630	630	630	630	630	630	630	99999	99999	99999	
maxcut-140-630-0.7-17.cnf	630	630	630	630	630	630	630	630	99999	99999	99999	
maxcut-140-630-0.7-7.cnf	630	630	630	630	630	630	630	630	99999	99999	99999	
maxcut-140-630-0.7-10.cnf	630	630	630	630	630	630	630	630	99999	99999	99999	
maxcut-140-630-0.8-4.cnf	629	629	629	629	629	629	629	629	99999	99999	99999	
maxcut-140-630-0.8-6.cnf	629	629	629	629	629	629	629	629	99999	99999	99999	
maxcut-140-630-0.8-8.cnf	629	629	629	629	629	629	629	629	99999	99999	99999	
maxcut-140-630-0.8-10.cnf	629	629	629	629	629	629	629	629	99999	99999	99999	
maxcut-140-630-0.8-2.cnf	629	629	629	629	629	629	629	629	99999	99999	99999	
maxcut-140-630-0.8-7.cnf	629	629	629	629	629	629	629	629	99999	99999	99999	
maxcut-140-630-0.8-16.cnf	629	629	629	629	629	629	629	629	99999	99999	99999	
maxcut-140-630-0.8-13.cnf	629	629	629	629	629	629	629	629	99999	99999	99999	
maxcut-140-630-0.8-1.cnf	629	629	629	629	629	629	629	629	99999	99999	99999	
maxcut-140-630-0.8-3.cnf	629	629	629	629	629	629	629	629	99999	99999	99999	
maxcut-140-630-0.8-5.cnf	629	629	629	629	629	629	629	629	99999	99999	99999	
maxcut-140-630-0.8-11.cnf	629	629	629	629	629	629	629	629	99999	99999	99999	
maxcut-140-630-0.8-18.cnf	629	629	629	629	629	629	629	629	99999	99999	99999	
maxcut-140-630-0.8-15.cnf	629	629	629	629	629	629	629	629	99999	99999	99999	
maxcut-140-630-0.8-9.cnf	629	629	629	629	629	629	629	629	99999	99999	99999	
maxcut-140-630-0.8-14.cnf	629	629	629	629	629	629	629	629	99999	99999	99999	
maxcut-140-630-0.8-19.cnf	629	629	629	629	629	629	629	629	99999	99999	99999	
maxcut-140-630-0.8-17.cnf	629	629	629	629	629	629	629	629	99999	99999	99999	
maxcut-140-630-0.8-12.cnf	629	629	629	629	629	629	629	629	99999	99999	99999	
maxcut-140-630-0.8-20.cnf	629	629	629	629	629	629	629	629	99999	99999	99999	
t4pm3-6666.spn.cnf	96	96	42	58	66	66	46	46	99999	99999	99999	
t5pm3-7777.spn.cnf	188	188	188	188	188	188	188	188	99999	99999	99999	
t3pm3-5555.spn.cnf	41	41	17	23	27	27	17	17	99999	99999	99999	
t6pm3-8888.spn.cnf	324	324	324	324	324	324	324	324	99999	99999	99999	
t7pm3-9999.spn.cnf	515	515	515	515	515	515	515	515	99999	99999	99999	
scpcyc10_maxsat.cnf	11520	11520	11520	11520	11520	11520	11520	11520	99999	99999	99999	
scpcyc08_maxsat.cnf	1792	1792	1792	1792	1792	1792	1792	1792	99999	99999	99999	
scpcyc11_maxsat.cnf	28160	28160	28160	28160	28160	28160	28160	28160	99999	99999	99999	
scpcyc09_maxsat.cnf	4608	4608	4608	4608	4608	4608	4608	4608	99999	99999	99999	
scpcyc06_maxsat.cnf	240	240	240	80	96	96	92	89	99999	99999	99999	
scpcyc07_maxsat.cnf	672	672	672	672	672	672	672	672	99999	99999	99999	
scpclr11_maxsat.cnf	1023	1023	1023	1023	1023	1023	1023	1023	99999	99999	99999	
scpclr10_maxsat.cnf	511	511	511	511	511	511	511	511	99999	99999	99999	
scpclr12_maxsat.cnf	2047	2047	2047	2047	2047	2047	2047	2047	99999	99999	99999	
c-fat500-5.clq.cnf	200	200	93	90	90	90	90	90	99999	99999	99999	
hamming6-2.clq.cnf	1824	1824	1824	1824	1824	1824	1824	1824	99999	99999	99999	
c-fat500-2.clq.cnf	68	68	26	24	26	26	24	24	99999	99999	99999	
MANN_a45.clq.cnf	859	859	859	859	859	859	587	587	99999	99999	99999	
c-fat200-2.clq.cnf	114	114	26	35	39	39	26	26	99999	99999	99999	
c-fat500-1.clq.cnf	24	24	2	2	5	2	3	2	99999	99999	99999	
hamming6-4.clq.cnf	704	704	704	704	704	704	704	704	99999	99999	99999	
san200_0.7_1.clq.cnf	558	558	253	558	558	558	257	272	99999	99999	99999	
hamming8-2.clq.cnf	903	903	903	903	903	903	483	483	99999	99999	99999	
hamming10-2.clq.cnf	820	820	456	820	820	820	400	400	99999	99999	99999	
san400_0.5_1.clq.cnf	395	395	149	186	395	395	161	161	99999	99999	99999	
p_hat700-3.clq.cnf	630	630	311	630	630	630	287	287	99999	99999	99999	
san400_0.7_2.clq.cnf	563	563	299	563	563	563	253	253	99999	99999	99999	
brock400_1.clq.cnf	596	596	284	596	596	596	278	283	99999	99999	99999	
san200_0.7_2.clq.cnf	562	562	265	562	562	562	265	272	99999	99999	99999	
brock400_2.clq.cnf	594	594	272	594	594	594	305	305	99999	99999	99999	
san400_0.7_3.clq.cnf	547	547	318	547	547	547	241	246	99999	99999	99999	
p_hat500-2.clq.cnf	455	455	186	455	216	455	455	455	99999	99999	99999	
san400_0.7_1.clq.cnf	560	560	258	560	560	560	258	289	99999	99999	99999	
johnson8-2-4.clq.cnf	210	210	85	75	85	85	105	80	99999	99999	99999	
p_hat700-1.clq.cnf	209	209	68	83	85	85	64	73	99999	99999	99999	
keller4.clq.cnf	606	606	262	606	606	606	199	606	99999	99999	99999	
johnson8-4-4.clq.cnf	1855	1855	1855	1855	1855	1855	1855	1855	99999	99999	99999	
sanr200_0.9.clq.cnf	677	677	370	677	677	677	343	504	99999	99999	99999	
keller5.clq.cnf	615	615	322	615	615	615	266	299	99999	99999	99999	
san200_0.9_2.clq.cnf	702	702	363	702	702	702	347	347	99999	99999	99999	
san200_0.9_3.clq.cnf	710	710	344	710	710	710	328	328	99999	99999	99999	
MANN_a9.clq.cnf	918	918	493	918	918	918	460	460	99999	99999	99999	
